RIC,Name
CPN.BK,CENTRAL PAT
KBANK.BK,KASIKORNBANK
ADVANC.BK,ADVANCED INFO SV
LH.BK,LAND & HOUSE
BGRIM.BK,B.GRIMM POWER
SCB.BK,SIAM COM BANK
STA.BK,SRI TRANG AGRO
MEGA.BK,MEGA LIFE
ERW.BK,ERAWAN GROUP
MINT.BK,MINOR INTERNAT
EGCO.BK,ELECTRIC GEN
EA.BK,ENERGY
TMB.BK,TMB BANK
INTUCH.BK,INTOUCH HOLDIN
STEC.BK,SINO-THAI ENGI
BTS.BK,BTS GROUP
WHA.BK,WHA CORPORATIO
SUPER.BK,SUPER ENERGY C
TOA.BK,TOA PAINT THAI
BCH.BK,BANGKOK CHAIN
TU.BK,THAI UNION GRO
SPALI.BK,SUPALAI PUB
KKP.BK,KIATNAKIN BANK
TKN.BK,TAOKAENOI FOO
CKP.BK,CK POWER
RATCH.BK,RATCHABURI
PTG.BK,PTG ENERGY
TASCO.BK,TIPCO ASPHALT
KCE.BK,KCE ELEC
PRM.BK,PRIMA MARINE
PSH.BK,PRUKSA HOLDING
AAV.BK,ASIA AVIATION
UV.BK,UNIVENTURES
LPN.BK,L.P.N.DEVELOP
ITD.BK,ITALIAN-THAI
ORI.BK,ORIGIN PROPERT
SGP.BK,SIAMGAS
TVO.BK,THAI VEGETABLE
WHAUP.BK,WHA UTILITIES
CHG.BK,CHULARAT HOSPI
COM7.BK,COM7
AMATA.BK,AMATA
BLAND.BK,BANGKOK LAND
TPIPL.BK,TPI POLENE
CK.BK,CH KARNCHANG
CBG.BK,CARABAO GROUP
TTW.BK,TTW
TISCO.BK,TISCO FINANC
BPP.BK,BANPU POWER
ROBINS.BK,ROBINSON
GPSC.BK,GLOBAL POWER S
DELTA.BK,DELTA ELEC
DTAC.BK,TOTAL ACCESS
IRPC.BK,IRPC
TRUE.BK,TRUE CORPORATI
BJC.BK,BERLI JUCKER
IVL.BK,INDORAMA VENT
BDMS.BK,BKK DUSIT MED
BBL.BK,BANGKOK BANK
SCC.BK,SIAM CEMENT
CPALL.BK,CP ALL
AOT.BK,AIRPORTS OF TH
RS.BK,RS
GGC.BK,GLOBAL GREEN C
WORK.BK,WORKPOINT ENTE
GUNKUL.BK,GUNKUL ENGINEE
BEAUTY.BK,BEAUTY COMMUN
THANI.BK,RATCHTHANI LEAS
MAJOR.BK,MAJOR CINEPLEX
HANA.BK,HANA MICRO ELE
BCPG.BK,BCPG
QH.BK,QUALITY HOUSES
THAI.BK,THAI AIRWAYS
EPG.BK,EASTERN POLYME
TCAP.BK,THANACHART CAP
CENTEL.BK,CENTRAL PLAZA
BCP.BK,BANGCHAK CORPO
ESSO.BK,ESSO
BH.BK,BUMRUNGRAD HOSPI
GLOW.BK,GLOW ENERGY
GFPT.BK,GFPT
TPIPP.BK,TPI POLENE POWER
BLA.BK,BANGKOK LIFE
SPRC.BK,STAR PETROLEUM
SIRI.BK,SANSIRI
AP.BK,AP THAILAND
BANPU.BK,BANPU
PSL.BK,PRECIOUS SHIP
KTC.BK,KRUNGTHAI CARD
SAWAD.BK,SRISAWAD CORP
MTC.BK,MUANGTHAI
HMPRO.BK,HOME PRODUCT
KTB.BK,KRUNG THAI BANK
BEM.BK,BANGKOK EXPRES
GLOBAL.BK,SIAM GLOBAL HO
TOP.BK,THAI OIL
PTTGC.BK,PTT GLOBAL CHE
CPF.BK,CHAROEN
PTTEP.BK,PTT EXP & PROD
PTT.BK,PTT
